ID,Name,Value
212,Name-37,159
756,Name-1,650
103,Name-31,94
156,Name-42,617
154,Name-43,893
110,Name-86,657
213,Name-2,527
704,Name-16,467
475,Name-11,640
315,Name-7,209
481,Name-81,131
863,Name-24,966
495,Name-50,550
359,Name-42,92
120,Name-33,229
792,Name-29,969
87,Name-37,94
691,Name-75,351
74,Name-98,629
59,Name-64,115
186,Name-64,980
152,Name-38,886
877,Name-84,803
904,Name-53,177
246,Name-29,402
430,Name-74,121
691,Name-8,354
112,Name-10,850
856,Name-89,747
501,Name-18,799
96,Name-31,682
114,Name-59,271
787,Name-11,162
433,Name-32,774
402,Name-14,336
484,Name-19,31
659,Name-29,386
748,Name-9,294
846,Name-37,148
318,Name-34,352
342,Name-72,387
960,Name-9,73
654,Name-12,101
979,Name-59,992
613,Name-30,984
686,Name-21,836
845,Name-13,949
1,Name-28,723
640,Name-41,956
838,Name-60,291
596,Name-81,854
65,Name-97,77
298,Name-18,687
430,Name-18,638
260,Name-82,977
889,Name-8,676
504,Name-12,419
892,Name-97,421
59,Name-41,495
796,Name-6,213
867,Name-80,261
904,Name-52,852
565,Name-59,849
755,Name-76,133
431,Name-17,617
417,Name-48,356
641,Name-18,368
76,Name-43,437
658,Name-35,637
614,Name-28,817
695,Name-17,0
313,Name-72,50
287,Name-30,373
715,Name-71,850
564,Name-66,131
731,Name-11,359
265,Name-2,183
748,Name-45,389
411,Name-6,545
199,Name-76,248
753,Name-51,286
467,Name-27,605
947,Name-10,56
808,Name-26,632
717,Name-21,304
886,Name-69,774
118,Name-30,249
923,Name-15,512
921,Name-99,606
154,Name-37,617
974,Name-33,73
698,Name-59,480
94,Name-5,648
3,Name-91,532
569,Name-4,36
857,Name-57,295
781,Name-20,843
651,Name-33,535
344,Name-9,62
336,Name-61,493
303,Name-44,753
710,Name-7,762
713,Name-15,559
562,Name-97,278
753,Name-36,463
283,Name-48,342
385,Name-20,949
67,Name-76,142
228,Name-15,607
295,Name-22,571
88,Name-41,644
4,Name-62,269
654,Name-61,708
737,Name-0,992
74,Name-96,71
865,Name-52,186
988,Name-62,582
534,Name-58,199
843,Name-18,471
33,Name-18,717
216,Name-79,930
10,Name-21,614
1,Name-27,185
957,Name-87,953
826,Name-69,395
236,Name-74,229
51,Name-56,32
29,Name-7,741
890,Name-39,979
324,Name-96,663
339,Name-6,558
276,Name-87,453
797,Name-28,532
870,Name-13,362
375,Name-65,230
491,Name-26,194
641,Name-18,994
599,Name-42,747
481,Name-82,31
644,Name-71,826
344,Name-9,519
428,Name-40,567
329,Name-29,115
175,Name-12,805
488,Name-86,582
80,Name-25,139
8,Name-17,758
869,Name-87,184
978,Name-54,539
498,Name-36,285
867,Name-51,578
751,Name-91,342
361,Name-60,246
334,Name-58,1
573,Name-61,29
671,Name-85,966
396,Name-27,22
816,Name-65,719
767,Name-97,380
612,Name-97,558
738,Name-10,199
366,Name-0,831
593,Name-82,731
94,Name-69,796
717,Name-83,833
93,Name-15,162
156,Name-15,62
795,Name-39,849
592,Name-96,488
942,Name-6,952
227,Name-70,978
607,Name-84,117
763,Name-61,988
793,Name-8,181
631,Name-65,844
736,Name-39,62
55,Name-0,638
146,Name-46,687
373,Name-43,395
815,Name-26,390
331,Name-93,507
399,Name-18,219
75,Name-16,850
655,Name-3,179
809,Name-91,324
596,Name-42,746
9,Name-76,668
316,Name-36,381
360,Name-5,726
468,Name-86,409
221,Name-26,413
714,Name-69,180
476,Name-71,562
891,Name-56,355
615,Name-80,248
598,Name-3,981
132,Name-79,109
58,Name-12,589
759,Name-69,789
284,Name-44,307
772,Name-18,330
812,Name-8,770
387,Name-74,758
813,Name-18,562
740,Name-4,776
168,Name-4,14
834,Name-59,829
234,Name-24,20
543,Name-71,301
723,Name-74,288
501,Name-93,480
209,Name-47,237
219,Name-55,448
132,Name-90,361
923,Name-34,204
377,Name-81,489
681,Name-47,615
632,Name-1,161
350,Name-46,78
337,Name-31,607
676,Name-71,261
968,Name-17,822
392,Name-25,670
777,Name-33,522
109,Name-42,299
531,Name-70,535
20,Name-72,224
44,Name-1,720
72,Name-86,255
836,Name-47,541
846,Name-28,968
91,Name-10,837
580,Name-37,751
11,Name-43,375
446,Name-52,416
650,Name-72,667
855,Name-27,253
697,Name-1,677
253,Name-46,913
717,Name-3,201
793,Name-82,75
367,Name-70,213
103,Name-34,166
749,Name-20,7
408,Name-12,613
674,Name-40,240
664,Name-99,997
732,Name-66,43
653,Name-63,533
69,Name-99,461
688,Name-89,251
46,Name-1,112
10,Name-96,764
799,Name-47,728
172,Name-20,914
404,Name-65,952
732,Name-76,696
486,Name-4,471
823,Name-44,313
12,Name-40,537
363,Name-66,493
723,Name-66,185
820,Name-51,197
376,Name-17,640
646,Name-26,241
832,Name-73,872
870,Name-71,31
24,Name-17,438
502,Name-40,805
93,Name-19,239
605,Name-84,677
320,Name-60,936
216,Name-65,388
428,Name-29,774
706,Name-43,810
535,Name-7,495
447,Name-7,564
140,Name-7,132
28,Name-2,384
543,Name-6,371
857,Name-50,16
118,Name-78,689
963,Name-74,884
762,Name-39,989
849,Name-56,466
23,Name-40,75
231,Name-20,702
437,Name-17,478
185,Name-82,571
9,Name-93,904
796,Name-17,259
730,Name-25,619
781,Name-34,3
460,Name-72,617
645,Name-65,519
741,Name-60,467
53,Name-73,870
871,Name-17,239
529,Name-58,441
387,Name-74,134
259,Name-18,197
564,Name-30,994
54,Name-3,82
973,Name-66,755
895,Name-3,576
834,Name-48,101
7,Name-86,226
144,Name-31,763
975,Name-86,582
300,Name-14,707
480,Name-59,223
636,Name-19,236
892,Name-5,864
388,Name-30,133
398,Name-87,84
817,Name-80,500
876,Name-96,932
444,Name-90,328
230,Name-42,83
654,Name-20,466
387,Name-43,511
318,Name-62,438
161,Name-79,17
510,Name-47,173
978,Name-44,102
983,Name-10,156
604,Name-99,337
602,Name-15,428
278,Name-5,86
637,Name-27,672
458,Name-46,340
124,Name-7,71
31,Name-61,472
662,Name-62,654
555,Name-18,388
292,Name-83,478
389,Name-68,706
247,Name-42,775
927,Name-7,314
999,Name-63,275
816,Name-32,644
72,Name-34,423
224,Name-97,221
529,Name-77,505
367,Name-76,157
287,Name-47,979
209,Name-54,791
667,Name-9,522
625,Name-65,340
582,Name-65,900
196,Name-71,592
255,Name-16,382
361,Name-86,388
751,Name-55,440
70,Name-79,201
244,Name-61,299
834,Name-98,333
251,Name-95,917
991,Name-66,317
876,Name-56,923
812,Name-39,36
986,Name-49,375
230,Name-98,699
768,Name-84,189
259,Name-75,56
437,Name-38,732
331,Name-24,831
280,Name-53,980
654,Name-16,747
91,Name-49,675
745,Name-98,19
346,Name-44,174
71,Name-5,12
942,Name-82,320
879,Name-54,203
837,Name-50,527
205,Name-72,992
427,Name-57,793
851,Name-25,131
823,Name-81,417
48,Name-66,247
544,Name-33,885
120,Name-8,313
641,Name-33,573
32,Name-48,186
847,Name-21,322
921,Name-70,958
378,Name-70,113
617,Name-78,915
550,Name-75,778
120,Name-35,892
337,Name-86,336
325,Name-3,720
468,Name-18,203
505,Name-94,979
457,Name-47,185
190,Name-16,333
256,Name-37,829
125,Name-64,995
437,Name-97,146
889,Name-25,476
269,Name-96,619
295,Name-91,154
223,Name-70,724
159,Name-69,808
157,Name-53,755
379,Name-72,156
652,Name-65,837
810,Name-24,587
411,Name-76,260
675,Name-64,889
688,Name-66,186
958,Name-15,383
642,Name-89,865
100,Name-67,428
778,Name-29,45
697,Name-86,742
160,Name-28,719
92,Name-49,427
894,Name-38,288
799,Name-78,519
889,Name-84,524
731,Name-35,494
644,Name-82,789
837,Name-6,31
577,Name-47,922
814,Name-93,221
689,Name-52,428
782,Name-15,448
503,Name-3,368
720,Name-35,62
424,Name-20,643
965,Name-32,804
193,Name-88,832
367,Name-57,342
118,Name-40,53
15,Name-46,184
978,Name-57,64
335,Name-16,101
878,Name-63,694
260,Name-70,499
462,Name-88,396
457,Name-10,765
436,Name-53,559
317,Name-59,675
237,Name-28,721
252,Name-21,364
447,Name-72,126
844,Name-11,416
340,Name-98,884
920,Name-61,886
345,Name-8,188
448,Name-38,65
833,Name-45,652
880,Name-94,938
24,Name-75,756
517,Name-10,304
598,Name-80,597
584,Name-38,9
703,Name-54,604
562,Name-73,471
59,Name-63,560
884,Name-8,392
916,Name-29,779
127,Name-55,624
429,Name-83,321
478,Name-48,154
798,Name-57,17
651,Name-79,316
883,Name-49,201
614,Name-35,609
854,Name-11,19
784,Name-39,170
149,Name-80,325
577,Name-2,191
420,Name-77,67
622,Name-79,766
83,Name-57,518
874,Name-69,273
182,Name-71,675
683,Name-55,732
505,Name-31,398
708,Name-96,238
693,Name-22,998
158,Name-81,78
742,Name-8,670
799,Name-97,742
657,Name-40,374
683,Name-20,502
180,Name-53,113
916,Name-82,829
460,Name-87,522
525,Name-45,937
554,Name-73,932
842,Name-3,559
514,Name-30,180
126,Name-51,520
899,Name-65,169
472,Name-70,662
681,Name-96,56
651,Name-58,219
469,Name-3,964
823,Name-77,556
508,Name-32,665
988,Name-44,368
182,Name-93,746
886,Name-24,701
274,Name-21,243
261,Name-36,558
319,Name-94,711
10,Name-66,226
734,Name-30,786
948,Name-64,936
306,Name-72,213
881,Name-75,547
702,Name-95,61
710,Name-98,110
899,Name-62,53
541,Name-28,225
67,Name-59,338
183,Name-86,410
156,Name-42,735
890,Name-8,487
477,Name-2,218
983,Name-50,364
737,Name-20,190
643,Name-70,949
469,Name-30,994
486,Name-13,515
673,Name-19,269
659,Name-42,451
698,Name-8,127
135,Name-99,442
149,Name-34,824
859,Name-37,773
789,Name-74,889
243,Name-35,392
640,Name-14,947
277,Name-14,646
550,Name-58,759
116,Name-78,443
587,Name-61,450
973,Name-77,172
444,Name-10,751
609,Name-70,949
102,Name-76,468
529,Name-42,433
27,Name-49,52
930,Name-42,203
376,Name-5,118
226,Name-80,470
903,Name-55,137
959,Name-11,431
476,Name-16,109
651,Name-42,117
868,Name-6,679
870,Name-54,800
31,Name-92,467
98,Name-91,615
985,Name-83,511
801,Name-40,667
932,Name-12,266
777,Name-24,559
172,Name-77,771
524,Name-11,723
628,Name-70,528
609,Name-37,543
678,Name-69,304
167,Name-89,442
705,Name-50,526
514,Name-78,944
431,Name-46,482
532,Name-76,849
80,Name-43,83
868,Name-45,856
170,Name-76,561
414,Name-40,477
