ID,Name,Value
859,Name-48,242
705,Name-68,128
131,Name-33,660
722,Name-2,877
846,Name-72,584
747,Name-78,950
835,Name-42,699
260,Name-50,86
500,Name-65,308
150,Name-92,302
459,Name-9,110
762,Name-58,971
906,Name-20,770
78,Name-7,430
452,Name-76,541
919,Name-83,33
841,Name-25,547
838,Name-34,443
717,Name-92,60
234,Name-44,124
304,Name-41,914
51,Name-46,612
521,Name-93,755
927,Name-10,815
355,Name-44,409
846,Name-45,766
889,Name-24,329
609,Name-33,113
358,Name-2,926
565,Name-79,243
142,Name-85,365
545,Name-67,448
511,Name-47,169
564,Name-45,819
542,Name-80,683
226,Name-49,90
233,Name-82,280
681,Name-77,440
404,Name-98,839
161,Name-12,959
388,Name-36,709
402,Name-45,535
514,Name-97,543
825,Name-48,304
790,Name-44,604
435,Name-61,342
740,Name-92,696
218,Name-12,338
391,Name-20,4
673,Name-75,394
131,Name-1,307
44,Name-57,391
103,Name-61,722
392,Name-79,670
466,Name-15,380
944,Name-26,980
573,Name-16,728
971,Name-86,564
138,Name-91,929
631,Name-1,19
696,Name-37,824
563,Name-79,53
857,Name-55,924
884,Name-92,778
793,Name-94,452
441,Name-51,368
136,Name-31,109
355,Name-20,311
96,Name-46,334
804,Name-58,562
523,Name-76,334
492,Name-18,471
455,Name-36,702
215,Name-46,249
210,Name-12,325
234,Name-64,445
469,Name-39,781
259,Name-96,217
288,Name-91,712
981,Name-3,442
477,Name-81,222
85,Name-7,154
515,Name-8,650
234,Name-37,639
615,Name-52,342
352,Name-21,390
303,Name-5,345
506,Name-32,557
185,Name-26,65
511,Name-54,966
955,Name-9,525
516,Name-45,125
919,Name-79,173
585,Name-69,82
256,Name-90,706
807,Name-46,276
493,Name-94,822
601,Name-80,844
318,Name-90,570
56,Name-38,196
119,Name-34,69
131,Name-4,367
160,Name-52,529
486,Name-19,727
385,Name-96,77
159,Name-33,916
999,Name-41,725
830,Name-45,392
193,Name-42,111
610,Name-86,630
766,Name-36,27
940,Name-73,87
911,Name-84,672
661,Name-37,822
836,Name-3,158
718,Name-9,850
524,Name-43,279
523,Name-38,853
802,Name-41,834
721,Name-77,881
589,Name-15,62
88,Name-93,222
74,Name-92,3
324,Name-98,778
841,Name-81,795
673,Name-47,972
738,Name-45,744
674,Name-78,204
439,Name-47,515
914,Name-68,514
5,Name-67,836
54,Name-25,547
116,Name-88,268
433,Name-29,660
906,Name-68,767
983,Name-25,813
292,Name-66,160
405,Name-92,114
660,Name-98,703
947,Name-29,4
203,Name-30,732
766,Name-52,357
969,Name-82,703
505,Name-32,442
364,Name-63,314
601,Name-86,866
509,Name-75,69
850,Name-41,869
826,Name-20,480
55,Name-67,83
791,Name-16,908
582,Name-47,159
345,Name-13,761
566,Name-20,0
669,Name-93,596
88,Name-20,555
529,Name-16,963
286,Name-46,480
639,Name-79,890
634,Name-96,989
956,Name-5,166
82,Name-3,535
674,Name-7,196
785,Name-84,383
977,Name-81,866
788,Name-72,896
854,Name-33,727
237,Name-90,507
645,Name-9,208
954,Name-27,51
876,Name-44,376
559,Name-88,302
7,Name-87,67
148,Name-64,90
578,Name-9,209
75,Name-80,572
210,Name-73,3
349,Name-23,645
918,Name-61,538
258,Name-82,204
362,Name-98,53
127,Name-81,936
575,Name-97,319
883,Name-70,527
268,Name-17,116
176,Name-40,400
537,Name-11,321
902,Name-5,659
532,Name-23,952
593,Name-10,926
358,Name-48,785
404,Name-71,872
637,Name-26,887
228,Name-13,773
333,Name-8,671
759,Name-81,9
877,Name-29,595
761,Name-52,49
579,Name-89,257
39,Name-73,847
407,Name-17,289
870,Name-25,801
215,Name-84,687
506,Name-42,240
141,Name-68,755
497,Name-78,513
947,Name-7,674
460,Name-42,410
474,Name-74,347
502,Name-53,685
808,Name-78,647
249,Name-65,754
391,Name-53,184
185,Name-6,613
647,Name-4,599
964,Name-11,802
455,Name-52,748
632,Name-16,679
60,Name-20,229
338,Name-85,702
358,Name-37,707
417,Name-54,81
178,Name-30,141
382,Name-91,715
398,Name-3,754
661,Name-95,329
799,Name-32,610
702,Name-65,405
524,Name-34,439
341,Name-60,536
61,Name-40,606
130,Name-96,363
10,Name-95,443
335,Name-27,571
305,Name-96,689
534,Name-79,212
773,Name-29,346
545,Name-54,518
941,Name-26,351
458,Name-54,57
848,Name-72,182
982,Name-29,672
894,Name-36,747
407,Name-68,58
102,Name-34,97
213,Name-19,744
392,Name-62,400
133,Name-4,676
981,Name-38,372
688,Name-98,103
324,Name-39,410
312,Name-78,394
477,Name-86,889
333,Name-3,553
176,Name-39,797
699,Name-25,997
811,Name-38,811
234,Name-29,305
217,Name-16,176
373,Name-81,594
518,Name-17,943
157,Name-76,30
579,Name-85,991
184,Name-3,446
202,Name-22,345
855,Name-94,701
206,Name-74,467
662,Name-15,6
718,Name-11,829
28,Name-69,710
569,Name-31,50
696,Name-54,364
689,Name-4,964
910,Name-89,589
354,Name-77,416
322,Name-85,663
426,Name-51,913
863,Name-97,986
699,Name-75,50
313,Name-35,349
811,Name-50,270
70,Name-81,689
199,Name-48,353
859,Name-11,494
383,Name-29,981
335,Name-94,208
399,Name-49,562
571,Name-34,616
503,Name-8,854
277,Name-48,841
596,Name-10,726
825,Name-81,596
837,Name-32,263
